지역,최저기온
서울,<tmn>17</tmn>
인천,<tmn>16</tmn>
수원,<tmn>17</tmn>
파주,<tmn>16</tmn>
이천,<tmn>17</tmn>
평택,<tmn>17</tmn>
춘천,<tmn>17</tmn>
원주,<tmn>18</tmn>
강릉,<tmn>19</tmn>
대전,<tmn>18</tmn>
세종,<tmn>18</tmn>
홍성,<tmn>17</tmn>
청주,<tmn>18</tmn>
충주,<tmn>17</tmn>
영동,<tmn>16</tmn>
광주,<tmn>18</tmn>
목포,<tmn>18</tmn>
여수,<tmn>18</tmn>
순천,<tmn>18</tmn>
광양,<tmn>18</tmn>
나주,<tmn>16</tmn>
전주,<tmn>18</tmn>
군산,<tmn>18</tmn>
정읍,<tmn>17</tmn>
남원,<tmn>17</tmn>
고창,<tmn>17</tmn>
무주,<tmn>15</tmn>
부산,<tmn>18</tmn>
울산,<tmn>18</tmn>
창원,<tmn>17</tmn>
진주,<tmn>16</tmn>
거창,<tmn>16</tmn>
통영,<tmn>18</tmn>
대구,<tmn>19</tmn>
안동,<tmn>17</tmn>
포항,<tmn>19</tmn>
경주,<tmn>18</tmn>
울진,<tmn>17</tmn>
울릉도,<tmn>17</tmn>
제주,<tmn>19</tmn>
서귀포,<tmn>19</tmn>
